ID;TransactionNo;ItemName;CREATE_DATE;SETTLED;BuyingPrice;SellingPrice;Units;STATUS;TICKET_TYPE;SHIFT_ID;OWNER_ID;TERMINAL_ID;tax;SaleType;Customer;Discount
252;61;sports;2020-04-15 07:50:52;Yes;50.00;70.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
253;61;hand bag;2020-04-15 07:50:52;Yes;250.00;500.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
254;62;Odinary smallthermos;2020-04-15 07:51:53;Yes;290.00;350.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
256;64;grill ;2020-04-17 04:25:49;Yes;3000.00;4000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
257;65;Shocky;2020-04-17 04:28:28;Yes;183.00;250.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
258;66;Odinary bigthermos;2020-04-17 06:35:19;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
259;67;sticker hanger;2020-04-17 08:07:39;Yes;60.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
260;68;stainless big;2020-04-17 08:10:02;Yes;700.00;750.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
261;69;Plastic Gratersmall;2020-04-18 01:34:08;Yes;80.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
262;70;Line plate;2020-04-18 03:35:59;Yes;125.00;150.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
263;70;OK cup;2020-04-18 03:35:59;Yes;120.00;150.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
264;71;medium ball;2020-04-18 03:40:17;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
265;72;6506;2020-04-18 08:12:43;Yes;80.00;120.00;3;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
267;73;stainless big;2020-04-19 04:27:47;Yes;700.00;750.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
268;74;Water gunsmall;2020-04-19 07:54:15;Yes;20.00;50.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
269;75;Odinary smallthermos;2020-04-20 02:30:03;Yes;290.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
270;76;tenniss;2020-04-20 04:38:00;Yes;30.00;50.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
271;77;big ball;2020-04-20 07:42:56;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
272;78;big ball;2020-04-21 04:10:19;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
273;79;Butcher Knife;2020-04-21 04:44:01;Yes;200.00;300.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
274;79;big ball;2020-04-21 04:44:02;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
275;80;medium ball;2020-04-21 05:55:55;Yes;100.00;200.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
276;81;bandana;2020-04-21 23:59:26;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
277;82;Signature;2020-04-22 00:03:26;Yes;500.00;840.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
278;83;monkey medium;2020-04-22 00:04:47;Yes;250.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
279;84;big salt;2020-04-22 06:33:42;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
280;85;Odinary bigthermos;2020-04-23 01:55:53;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
281;85;tenniss;2020-04-23 01:55:53;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
282;86;umb big;2020-04-23 01:57:12;Yes;300.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
283;86;small convert;2020-04-23 01:57:12;Yes;200.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
284;87;umb big;2020-04-23 04:45:30;Yes;300.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
285;88;rolling pin;2020-04-23 05:02:04;Yes;50.00;70.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
286;88;spiral big;2020-04-23 05:02:04;Yes;180.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
287;88;spiral small bowl;2020-04-23 05:02:05;Yes;80.00;100.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
288;88;non stick pro;2020-04-23 05:02:05;Yes;1200.00;1500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
289;88;chapati;2020-04-23 05:02:05;Yes;130.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
290;89;Serving Mella;2020-04-23 05:04:53;Yes;80.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
291;89;Cup thermos;2020-04-23 05:04:53;Yes;650.00;1000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
292;90;face;2020-04-24 02:11:42;Yes;16.00;30.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
293;91;umb big;2020-04-24 03:17:13;Yes;300.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
294;92;medium ball;2020-04-24 05:00:57;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
295;93;medium ball;2020-04-24 06:28:03;Yes;100.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
296;94;Tea_un 7litre;2020-04-25 02:19:21;Yes;1500.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
297;94;Skimmers ;2020-04-25 02:19:21;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
298;95;6507;2020-04-25 05:31:59;Yes;80.00;120.00;3;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
299;96;Spoon holder;2020-04-25 05:36:08;Yes;350.00;600.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
300;97;grill ;2020-04-25 05:58:57;Yes;3000.00;4000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
301;97;glass sets;2020-04-25 05:58:57;Yes;1200.00;1700.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
302;97;glass 2;2020-04-25 05:58:57;Yes;800.00;1300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
303;98;kids;2020-04-26 07:26:09;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
304;99;Regal 2l thermos;2020-04-27 01:47:29;Yes;1500.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
305;100;spiral small bowl;2020-04-27 01:48:08;Yes;80.00;100.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
306;101;big ball;2020-04-27 04:44:51;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
307;101;tribal;2020-04-27 04:44:51;Yes;300.00;500.00;3;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
308;102;Odinary bigthermos;2020-04-27 05:55:45;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
309;103;Sugar dish small;2020-04-27 06:04:32;Yes;350.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
311;103; lids big;2020-04-27 06:04:32;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
312;104;Odinary smallthermos;2020-04-27 06:05:44;Yes;290.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
313;105;sticker hanger;2020-04-27 06:08:18;Yes;60.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
314;106;Serviet holder small;2020-04-27 08:26:29;Yes;130.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
315;107;Redberry;2020-04-27 08:36:06;Yes;450.00;600.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
316;108;Feeding kzh;2020-04-28 03:00:31;Yes;10.00;20.00;36;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
317;109;sinia smallstainless;2020-04-28 03:06:16;Yes;120.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
318;109;small;2020-04-28 03:06:16;Yes;190.00;250.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
319;110;small ugali;2020-04-28 03:07:16;Yes;650.00;900.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
320;111;light water;2020-04-28 06:42:24;Yes;250.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
322;113;plastic;2020-04-29 07:13:44;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
323;114;clear;2020-04-29 08:21:40;Yes;160.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
324;115;Odinary bigthermos;2020-04-30 04:14:00;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
325;116;stone ;2020-05-01 03:07:06;Yes;180.00;200.00;30;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
326;117;tribal;2020-05-01 03:10:21;Yes;300.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
327;118;tenniss;2020-05-01 08:19:08;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
328;119;chapati;2020-05-02 01:16:13;Yes;130.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
329;119;rolling pin;2020-05-02 01:16:13;Yes;50.00;70.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
330;120;Butcher Knife;2020-05-02 05:46:50;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
331;121; men socks;2020-05-02 08:00:34;Yes;30.00;50.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
332;122;marvin;2020-05-02 08:01:41;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
333;123;rolling pin;2020-05-02 08:25:40;Yes;50.00;70.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
334;123;chapati;2020-05-02 08:25:40;Yes;130.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
335;124;face;2020-05-03 04:17:40;Yes;16.00;30.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
336;125;proffesional;2020-05-03 04:19:46;Yes;250.00;350.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
337;126;Stainless thermos;2020-05-03 06:38:46;Yes;800.00;1100.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
338;127;Water gunsbig;2020-05-03 06:39:43;Yes;50.00;80.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
339;128;Trumpets;2020-05-03 06:40:51;Yes;40.00;70.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
340;129;tenniss;2020-05-03 06:45:38;Yes;30.00;50.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
341;130;sundabest big;2020-05-03 06:56:15;Yes;380.00;480.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
342;131;regal 3ltrs;2020-05-03 07:09:43;Yes;1800.00;2500.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
343;132;Odinary smallthermos;2020-05-03 08:29:16;Yes;290.00;350.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
344;133;Smal stainles Grater;2020-05-04 02:54:29;Yes;80.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
345;133;plastic;2020-05-04 02:54:29;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
346;134;sticker hanger;2020-05-04 03:12:01;Yes;60.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
347;135;kaulo Kettle;2020-05-04 03:16:25;Yes;550.00;800.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
348;136;Serviet holder uniq;2020-05-04 03:22:01;Yes;400.00;700.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
349;137;Regal 2l thermos;2020-05-04 03:57:31;Yes;1500.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
350;138;mella ;2020-05-04 06:11:44;Yes;80.00;100.00;4;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
351;139;Odinary smallthermos;2020-05-04 07:58:44;Yes;290.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
352;140;rolling pin;2020-05-05 06:24:49;Yes;50.00;70.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
353;141;Sieves kichungi;2020-05-06 00:19:31;Yes;100.00;130.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
354;142;bandana;2020-05-06 02:25:51;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
355;143;sinia smallstainless;2020-05-06 03:53:16;Yes;120.00;200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
357;145;tribal;2020-05-06 04:40:12;Yes;300.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
358;146;OK cup;2020-05-06 04:43:37;Yes;120.00;150.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
359;147;umb 35;2020-05-06 04:52:47;Yes;350.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
362;150;umb 18;2020-05-06 07:35:57;Yes;180.00;250.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
363;151;soft throw;2020-05-06 08:41:40;Yes;550.00;1000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
364;152;gift pack;2020-05-07 04:24:46;Yes;100.00;125.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
365;153;signature 3 in 1;2020-05-07 05:50:04;Yes;3000.00;3700.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
366;154;tenniss;2020-05-07 05:50:41;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
367;155;rainbow umbrella;2020-05-07 07:42:03;Yes;230.00;400.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
368;156;Kaijin Knives ;2020-05-08 02:25:51;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
369;157;deco cup;2020-05-08 04:41:05;Yes;55.00;120.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
370;158; men socks;2020-05-08 04:42:08;Yes;30.00;50.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
371;159;tenniss;2020-05-08 05:57:04;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
372;159;Water gunsmall;2020-05-08 05:57:04;Yes;20.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
373;160;stainless big;2020-05-08 05:59:57;Yes;700.00;750.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
374;161;umb 18;2020-05-08 06:23:04;Yes;180.00;250.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
376;163;Butcher Knife;2020-05-09 03:23:32;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
377;164;Butcher Knife;2020-05-09 03:23:54;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
378;165;Butcher Knife;2020-05-09 03:33:57;Yes;200.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
379;166;Sugar dish small;2020-05-09 08:24:02;Yes;350.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
380;166;kid bungle;2020-05-09 08:24:02;Yes;10.00;20.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
381;167;kid bungle;2020-05-10 04:15:52;Yes;10.00;20.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
382;168;kid bungle;2020-05-10 04:16:16;Yes;10.00;20.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
383;169;kid bungle;2020-05-10 04:16:32;Yes;10.00;20.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
385;170;Water gunsbig;2020-05-10 05:28:09;Yes;50.00;80.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
386;171;sundabest big;2020-05-10 06:11:10;Yes;380.00;480.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
387;172;ear rings 7;2020-05-10 08:16:46;Yes;5.00;20.00;1;\N;\N;\N;1;\N;0;Cash Sale;\N;\N
388;173;kitchen mediumknife;2020-05-11 01:29:41;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
389;174;umb 18;2020-05-11 01:51:43;Yes;180.00;250.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
390;175;Lyons Kettle;2020-05-11 06:49:15;Yes;800.00;1200.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
391;176;Tea_un 7litre;2020-05-11 07:01:27;Yes;1500.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
392;177;Stainless cutleryset;2020-05-11 07:16:52;Yes;800.00;1000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
393;177;big lid cup;2020-05-11 07:16:52;Yes;210.00;300.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
394;178;Tea_un 9litre;2020-05-12 01:55:46;Yes;1800.00;2500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
395;179;bandana;2020-05-12 02:03:34;Yes;30.00;50.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
396;180;metal bowl;2020-05-12 02:04:33;Yes;20.00;40.00;6;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
397;181;Regal 2l thermos;2020-05-12 06:18:15;Yes;1500.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
401;183;Odinary smallthermos;2020-05-12 06:41:59;Yes;290.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
402;184;kid bungle;2020-05-12 07:34:18;Yes;10.00;20.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
403;185;marvin;2020-05-12 07:46:53;Yes;100.00;150.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
404;186;Odinary bigthermos;2020-05-13 03:19:58;Yes;350.00;450.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
405;187;Sugar dish small;2020-05-13 04:36:10;Yes;350.00;500.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
406;187;sundabest small;2020-05-13 04:36:10;Yes;300.00;350.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
407;188;assorted cups;2020-05-13 04:55:05;Yes;150.00;180.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
408;188;big dinner ;2020-05-13 04:55:05;Yes;230.00;250.00;2;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
409;189;Stainless Kettle;2020-05-13 05:04:24;Yes;1300.00;2000.00;1;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
410;190;Redberry;2020-05-13 05:19:34;Yes;450.00;600.00;4;\N;\N;\N;7;\N;0;Cash Sale;\N;\N
